estrato_tarifa,estrato,electrodomestico,consumo_kwH,valor_kwH,valorConsumo_Hora
C_0,0,Aire acondicionado,2.95,629.0344,1855.65148
C_0,0,Ducha eléctrica,1.5,629.0344,943.5516
C_0,0,Plancha,1.2,629.0344,754.84128
C_0,0,Aspiradora,1.2,629.0344,754.84128
C_0,0,Nevera,0.575,629.0344,361.69478
C_0,0,Lavadora,0.375,629.0344,235.8879
C_0,0,Televisor,0.15,629.0344,94.35516
C_0,0,Computador,0.15,629.0344,94.35516
C_0,0,Bombillo,0.1,629.0344,62.90344
C_0,0,Cargador celular,0.013,629.0344,8.1774472
R_1,1,Aire acondicionado,2.95,524.1953,1546.376135
R_1,1,Ducha eléctrica,1.5,524.1953,786.29295
R_1,1,Plancha,1.2,524.1953,629.03436
R_1,1,Aspiradora,1.2,524.1953,629.03436
R_1,1,Nevera,0.575,524.1953,301.4122975
R_1,1,Lavadora,0.375,524.1953,196.5732375
R_1,1,Televisor,0.15,524.1953,78.629295
R_1,1,Computador,0.15,524.1953,78.629295
R_1,1,Bombillo,0.1,524.1953,52.41953
R_1,1,Cargador celular,0.013,524.1953,6.8145389
R_2,2,Aire acondicionado,2.95,524.1953,1546.376135
R_2,2,Ducha eléctrica,1.5,524.1953,786.29295
R_2,2,Plancha,1.2,524.1953,629.03436
R_2,2,Aspiradora,1.2,524.1953,629.03436
R_2,2,Nevera,0.575,524.1953,301.4122975
R_2,2,Lavadora,0.375,524.1953,196.5732375
R_2,2,Televisor,0.15,524.1953,78.629295
R_2,2,Computador,0.15,524.1953,78.629295
R_2,2,Bombillo,0.1,524.1953,52.41953
R_2,2,Cargador celular,0.013,524.1953,6.8145389
R_3,3,Aire acondicionado,2.95,524.1953,1546.376135
R_3,3,Ducha eléctrica,1.5,524.1953,786.29295
R_3,3,Plancha,1.2,524.1953,629.03436
R_3,3,Aspiradora,1.2,524.1953,629.03436
R_3,3,Nevera,0.575,524.1953,301.4122975
R_3,3,Lavadora,0.375,524.1953,196.5732375
R_3,3,Televisor,0.15,524.1953,78.629295
R_3,3,Computador,0.15,524.1953,78.629295
R_3,3,Bombillo,0.1,524.1953,52.41953
R_3,3,Cargador celular,0.013,524.1953,6.8145389
R_4,4,Aire acondicionado,2.95,524.1953,1546.376135
R_4,4,Ducha eléctrica,1.5,524.1953,786.29295
R_4,4,Plancha,1.2,524.1953,629.03436
R_4,4,Aspiradora,1.2,524.1953,629.03436
R_4,4,Nevera,0.575,524.1953,301.4122975
R_4,4,Lavadora,0.375,524.1953,196.5732375
R_4,4,Televisor,0.15,524.1953,78.629295
R_4,4,Computador,0.15,524.1953,78.629295
R_4,4,Bombillo,0.1,524.1953,52.41953
R_4,4,Cargador celular,0.013,524.1953,6.8145389
R_5,5,Aire acondicionado,2.95,629.0344,1855.65148
R_5,5,Ducha eléctrica,1.5,629.0344,943.5516
R_5,5,Plancha,1.2,629.0344,754.84128
R_5,5,Aspiradora,1.2,629.0344,754.84128
R_5,5,Nevera,0.575,629.0344,361.69478
R_5,5,Lavadora,0.375,629.0344,235.8879
R_5,5,Televisor,0.15,629.0344,94.35516
R_5,5,Computador,0.15,629.0344,94.35516
R_5,5,Bombillo,0.1,629.0344,62.90344
R_5,5,Cargador celular,0.013,629.0344,8.1774472
R_6,6,Aire acondicionado,2.95,629.0344,1855.65148
R_6,6,Ducha eléctrica,1.5,629.0344,943.5516
R_6,6,Plancha,1.2,629.0344,754.84128
R_6,6,Aspiradora,1.2,629.0344,754.84128
R_6,6,Nevera,0.575,629.0344,361.69478
R_6,6,Lavadora,0.375,629.0344,235.8879
R_6,6,Televisor,0.15,629.0344,94.35516
R_6,6,Computador,0.15,629.0344,94.35516
R_6,6,Bombillo,0.1,629.0344,62.90344
R_6,6,Cargador celular,0.013,629.0344,8.1774472